key,text,english,notes
gog_of_magog,"Pag-atake ni Gog ng Magog (Ezekiel 38:1, 2, 9-12, 18-23)","Attack of Gog of Magog (Ezekiel 38:1, 2, 9-12, 18-23)",end of GT
sheep_goat,"Ang mga naninirahan sa lupa ay hahatulan, ibubukod ang mga tupa sa kambing (Mateo 25:31-33)","Earth’s inhabitants are judged, separating sheep and goats (Matthew 25:31-33)",end of GT
annointed,Pagtitipon ng mga tagapamahala ng Kaharian (Mateo 24:31; 1 Corinto 15:50-53; 1 Tesalonica 4:15-17),Gathering of Kingdom rulers (Matthew 24:31; 1 Corinthians 15:50-53; 1 Thessalonians 4:15-17),end of GT
armageddon,"Labanan ng Armagedon (Apocalipsis 16:14, 16; Isaias 13:9; 2 Pedro 3:12)","Battle of Armageddon (Revelation 16:14, 16; Isaiah 13:9; 2 Peter 3:12)",end of system of things
millenium,"Simula ng 1000 na paghahari ng Kaharian ng Diyos (Apocalipsis 5:9, 10; 20:4, 6)","God’s Kingdom begins its 1000-year reign (Revelation 5:9, 10; 20:4, 6)",
great_crowd,"Isang malaking pulutong ang makaligtas sa Armagedon (Apocalipsis 7:9, 14; Awit 37:9-11)","A great crowd survives Armageddon (Revelation 7:9, 14; Psalm 37:9-11)",
world_population,Bilyon-bilyon ang populasyon ng mundo sa nakalipas na 2000 taon,World population in billions in the last 2000 years,
607BCE,607 B.C.E.,607 B.C.E.,accommodate for language
539BCE,539 B.C.E.,539 B.C.E.,systems in style:
537BCE,537 B.C.E.,537 B.C.E.,>>year 537 before time<<
331BCE,331 B.C.E.,331 B.C.E.,so they need a word
63BCE,63 B.C.E.,63 B.C.E.,prior to the year
70CE,70 C.E.,70 C.E.,and something
1914CE,1914-1918 C.E.,1914-1918 C.E.,after the year
khmer_empire,804 – 1431 C.E.,804 – 1431 C.E.,
khmer_empire_c,Imperyong Khmer - Panahon ng Angkor,Khmer Empire - Angkor period,
byzantine_empire,330-1453 C.E.,330-1453 C.E.,
byzantine_empire_c,Imperyong Byzantine,Byzantine Empire,
ottoman_empire,1299 – 1922 C.E.,1299 – 1922 C.E.,
ottoman_empire_c,Imperyong Ottoman,Ottoman Empire,
holy_roman_empire,800 – 924 C.E.,800 – 924 C.E.,
holy_roman_empire2,962 – 1806 C.E.,962 – 1806 C.E.,fixed 2024-12-31
holy_roman_empire_c,Banal na Imperyong Romano – Kinilalang Banal na Imperyong Romano ng Bansang Aleman noong 1512,Holy Roman Empire – known as Holy Roman Empire of the German Nation after 1512,
mongol_empire,Imperyong Mongol 1206 – 1294 C.E.,Mongol Empire 1206 – 1294 C.E.,
Genghis,Genghis Khan,Genghis Khan,
maya_classic,250-950,250-950,
maya_classic_c,Kabihasnang Maya – klasikong panahon,Maya civilization – classic period,
maya_postclassic,950-1539,950-1539,
maya_postclassic_c,Kabihasnang Maya – postclassic period,Maya civilization – postclassic period,
inca_empire,1438 – 1533 C.E.,1438 – 1533 C.E.,
inca_empire_c,Imperyo ng inca,Inca empire,
gupta_empire,319 – 550 C.E.,319 – 550 C.E.,
gupta_empire_c,Imperyong Gupta,Gupta empire,
Teotihuacan,"Pinakamalaking lungsod sa Americas, pyramids build c. 200 C.E.","Largest city in the Americas, pyramids build c. 200 C.E.",
Teotihuacan_c,Teotihuacan,Teotihuacan,
Dionysius_Exiguus,"Dionysius Exiguus, imbentor ng Anno Domini","Dionysius Exiguus, inventor of Anno Domini",
Umayyad,661 – 750 C.E.,661 – 750 C.E.,
Umayyad_c,Umayyad,Umayyad,
Abbasid,750 – 1258 C.E.,750 – 1258 C.E.,
Abbasid_c,Abbasid Caliphate,Abbasid Caliphate,
Mamluk,1250 – 1517 C.E.,1250 – 1517 C.E.,
Mamluk_c,Sultanato ng Mamluk,Mamluk Sultanate,
ur3,Ur III dynasty 𒋀𒀕𒆠,Ur III dynasty 𒋀𒀕𒆠,
hammurabi,Hammurabi 𒄩𒄠𒈬𒊏𒁉,Hammurabi 𒄩𒄠𒈬𒊏𒁉,
Al-Khwarizmi,Isinulat ni al Khwarizmi ang Al Jabr (Algebra),al-Khwarizmi writes Al-Jabr (Algebra),
al-azhar,Ang Al Azhar University ay itinatag sa Cairo,Al-Azhar University is established in Cairo,
Ibn-Sina,Ibn Sina o Avicenna,Ibn Sina or Avicenna,
Al-Ghazali,Al Ghazali,Al-Ghazali,2024-07-30
Keturah,Keturah,Keturah,Genesis 25:1-4
Zimran,Zimran,Zimran,
Jokshan,Joksan,Jokshan,
Medan,Medan,Medan,
Midian,Midian,Midian,
Ishbak,Isbak,Ishbak,
Shuah,Shuah,Shuah,
Timna,Timna,Timna,"1 Chr 1:36, Ge 36:10-12"
Midianites,"1) Midianita: Bilang 31:2, 3","1) Midianites: Numbers 31:2, 3",
Moabites,"2) Moabita: Deuteronomio 23:3, 4","2) Moabites: Deuteronomy 23:3, 4",
Ammonites,3) Ammonita: Josue 12:2,3) Ammonites: Joshua 12:2,
Edomites,4) Edomita: Bilang 20:14-17,4) Edomites: Numbers 20:14-17,
Temanites,5) Temanita: Job 42:7,5) Temanites: Job 42:7,
Amalekites,6) Amalekita: 1 Samuel 15:2,6) Amalekites: 1 Samuel 15:2,2024-09-29
life-expectancy,Haba ng buhay 75 taon,Life expectancy 75 years,
life-expectancy2,(Awit 90:10),(Psalm 90:10),2024-11-29
430years,1943 – 1513 B.C.E.,1943 – 1513 B.C.E.,
430years_c,"430 taon: Exodo 12:41, Galacia 3:17","430 years: Exodus 12:41, Galatians 3:17",2024-12-24
maya_calendar,"Kinalkula na pasimula ng Kalendaryo Maya Augosto 11, 3114 B.C.E.","Calculated beginning of Maya calendar August 11, 3114 B.C.E.",2024-12-25
xia-dynasty2,c. 2070 – c. 1600 BC; Kapanahunan na unang nabanggit sa panahon ng Kanlurang Zhou ,c. 2070 – c. 1600 BC; Era first alluded during the Western Zhou period,2025-01-02
xia-dynasty2_c,Xia dinastiya ng Tsina,Xia dynasty in China,
tres_zapotes,"Septembre 3rd, 32 B.C.E.","September 3rd, 32 B.C.E.",2024-12-31
joseph_jacob_reunited,Jose at Jacob nagpisan muli sa Egypto – 1728 B.C.E. (Gen 45:11; 47:9,Joseph and Jacob reunited in Egypt – 1728 B.C.E. (Gen 45:11; 47:9),2025-01-01
king_south_light,,,2025-02-05
king_south_light_c,Hari ng Timog ulat ni Daniel 11,King of the South from Daniel 11,2025-02-05
king_north_light,,,2025-02-05
king_north_light_c,Hari ng Hilaga ulat ni Daniel 11,King of the North from Daniel 11,2025-02-05
daniel2_iron,,,2025-02-05
daniel2_iron_c,Bakal na binti ulat ni Daniel 2,Iron legs from Daniel 2,2025-02-05
